"","PCDDF_P05","PCDDF_P95","PCDDF_pred","PCDDF_sample","y"
"60",0.0546001650727,0.590085176496242,0.141721469022545,0.141606596854862,0
"167",0.0861734409119397,0.663878281113638,0.206052415665297,0.126118604942016,0.00546448087431694
"168",0.0888168960101051,0.888430954969731,0.233933263151097,0.140547651024574,0.0109289617486339
"103",0.161970263319198,1.02156137809327,0.379859650883306,0.290650467572351,0.0163934426229508
"53",0.197161253043313,0.800902846940543,0.395476831943014,0.678158035845841,0.0218579234972678
"18",0.221022979348,0.878653804848006,0.441273207940633,0.245339712997034,0.0273224043715847
"95",0.249543253159387,0.993414569363253,0.491813936307381,0.395979672390129,0.0327868852459016
"124",0.225745065977224,1.18708714154803,0.496471843722297,0.224848236671266,0.0382513661202186
"67",0.273947226647282,1.11388290264915,0.543963659721425,0.291249585468185,0.0437158469945355
"77",0.302966452553694,1.19053205679439,0.590579622113817,0.596763258232106,0.0491803278688525
"42",0.311847415595942,1.25078266582118,0.626522071390924,1.00224675924901,0.0546448087431694
"166",0.331314410929059,1.35259313831537,0.646615243533537,0.654217644060552,0.0601092896174863
"94",0.322118559400767,1.53517032848317,0.674697418219664,0.577523577880863,0.0655737704918033
"105",0.36238880849027,1.40832590170793,0.699970788118999,0.250313786143799,0.0710382513661202
"172",0.362712399419485,1.44135367927893,0.712207404359967,0.715040557019913,0.0765027322404372
"126",0.385681206622689,1.40923165922949,0.733686550638548,1.08349502819469,0.0819672131147541
"125",0.395712763132266,1.44955504252204,0.744485373442523,0.435582552798733,0.087431693989071
"109",0.383804602935732,1.521564991288,0.755797109966633,1.57166651675652,0.092896174863388
"43",0.388512771125304,1.49519941275201,0.765237805939048,0.529232147991712,0.0983606557377049
"136",0.389513559919697,1.5517340591552,0.781511623243394,0.80674162082432,0.103825136612022
"50",0.404207242023405,1.51917137822839,0.78420144419616,1.3256410125668,0.109289617486339
"156",0.424096299601496,1.54819955428386,0.802113917003747,0.578768626750272,0.114754098360656
"121",0.424015555481208,1.65063789381085,0.826830524854621,0.488837115260509,0.120218579234973
"88",0.447093462320677,1.59463220054607,0.840591257030935,0.827046465325377,0.12568306010929
"133",0.442549223247941,1.75277548143799,0.883306876796767,0.5609178215517,0.131147540983607
"23",0.43382108156547,1.80344901747031,0.904209059208088,0.865215303994917,0.136612021857924
"106",0.473169264436599,1.79976181657085,0.922216859385445,0.643442582644414,0.14207650273224
"20",0.469953520809893,1.81745211071552,0.923404922379483,1.73386118697281,0.147540983606557
