"","SUM_P05","SUM_P95","SUM_pred","SUM_sample","y"
"60",0.066681655905672,0.806694229096329,0.172381175224457,0.100749541098127,0
"167",0.110471653748446,0.971902784234741,0.260553663028432,0.20786926978751,0.00546448087431694
"168",0.103008844582431,1.21808428766747,0.268284130354129,0.222621522758507,0.0109289617486339
"103",0.210702688937981,1.44885880247085,0.473656828223392,0.256867710019233,0.0163934426229508
"53",0.334227369528833,1.05978144616987,0.579881858065681,0.610874534251107,0.0218579234972678
"18",0.333811379407769,1.0816144897815,0.594176317437678,0.522813186460537,0.0273224043715847
"124",0.309684240413953,1.62637396141567,0.636482410288262,0.591726066576682,0.0327868852459016
"95",0.404446534937323,1.34251433120195,0.724287041536608,0.574935487027593,0.0382513661202186
"67",0.432029547547801,1.46204830003891,0.77780435900035,0.505160919784409,0.0437158469945355
"42",0.518236160463195,1.58056161593939,0.890096710001083,0.737065903220115,0.0491803278688525
"77",0.519034603193208,1.60755334225267,0.901722148996315,0.845927517572157,0.0546448087431694
"94",0.46291782912857,2.13280064201925,0.901839287324713,0.699372303117056,0.0601092896174863
"166",0.527197885684588,1.82737136753969,0.938514807932386,0.5070566160927,0.0655737704918033
"105",0.627826953344165,1.80115491875416,1.03783623323202,1.08394458220116,0.0710382513661202
"125",0.605437536295411,1.83336112869515,1.04104521369812,1.17661375467629,0.0765027322404372
"50",0.634806279175526,1.95699709221017,1.09752139275278,1.14325691059735,0.0819672131147541
"43",0.653344688509109,1.93591272756895,1.11031324472923,0.680786893386909,0.087431693989071
"172",0.652110371430339,1.98940370376724,1.11222302782623,0.811980493007907,0.092896174863388
"88",0.672084582877507,1.95122437555244,1.12167454083251,0.965056910299475,0.0983606557377049
"126",0.679503159610259,1.89155760032261,1.12615869703923,1.95263737956109,0.103825136612022
"109",0.670425301216594,1.98814423231833,1.13762911079916,0.379224022751097,0.109289617486339
"156",0.708163892409695,2.00802830016708,1.16378917695208,0.908193937744839,0.114754098360656
"133",0.69086034933359,2.06407679410855,1.18775043485384,0.94558516069438,0.120218579234973
"121",0.685399309696512,2.24945404044094,1.19968623182577,1.98485008901179,0.12568306010929
"106",0.72899188394787,2.23054677151225,1.24145125921567,1.15934038390965,0.131147540983607
"136",0.772231794869546,2.17351898677196,1.26873089322036,1.02977468649949,0.136612021857924
"138",0.75219387399029,2.44376672950447,1.29337231391438,1.10301868612558,0.14207650273224
"23",0.773870495859595,2.2932679573605,1.31477263802998,1.77809039521103,0.147540983606557
"20",0.775053001260669,2.31670251476691,1.32033234937697,1.30750015907663,0.153005464480874
"3",0.771694083805009,2.31547375447063,1.32624251854525,1.45258941632994,0.158469945355191
"82",0.832826571163502,2.39041776679685,1.40317536506972,0.865557449991425,0.163934426229508
"174",0.715573402277347,3.46147541142566,1.42968623556155,1.98027829242671,0.169398907103825
"28",0.839284229894888,2.49699703013448,1.43207110176912,1.17878184619668,0.174863387978142
"131",0.875698187433558,2.44812469691482,1.43345557614779,2.57349893130276,0.180327868852459
"157",0.880905397078005,2.42231309213699,1.45912460267131,1.87501699383771,0.185792349726776
"100",0.896169827319399,2.53660230921761,1.49040012240544,1.59829732411822,0.191256830601093
"2",0.927394455031518,2.59335179000056,1.51352089627932,1.89303613312891,0.19672131147541
"149",0.915115365623099,2.66192036252515,1.55023968107538,1.42399701848224,0.202185792349727
"45",0.955611569709159,2.55233040604712,1.5526134509937,1.63778531208125,0.207650273224044
"119",0.918407276402561,2.79026845408115,1.56859010429842,1.3949680526287,0.213114754098361
"68",0.935405368616163,2.80993830717223,1.56957413486206,1.36539372318708,0.218579234972678
"72",0.972021497371541,2.59640175703874,1.58021211719173,1.62376390146931,0.224043715846995
"21",0.971594931674928,2.89097191592767,1.60980727394867,1.5812529867379,0.229508196721311
"33",0.945182849369674,2.92303582896631,1.6115969092849,1.52395718183714,0.234972677595628
"78",0.958593636764808,2.72820934950634,1.61204365497838,1.39831476504308,0.240437158469945
"162",0.935646415446544,2.98105105421483,1.63023610875089,1.41590269509679,0.245901639344262
"160",0.958625754859281,2.94271844071084,1.63531679185513,3.73814632785411,0.251366120218579
"26",0.981190896678834,2.87494934373352,1.65604808888507,1.42849947205226,0.256830601092896
"104",0.97964033266945,2.92731548070889,1.66755307210585,0.848953482376366,0.262295081967213
"164",0.969229141405485,3.10816467172951,1.6922743057992,0.510681487508686,0.26775956284153
"132",0.994693690253103,2.93428566710059,1.70445435380788,1.27097982238778,0.273224043715847
"99",0.980654545664632,3.06473636441317,1.70858644180321,1.46524748108171,0.278688524590164
"96",0.978407170412546,3.24542636225823,1.71985527119777,1.46615346292945,0.284153005464481
"47",1.04468421967176,2.90279352753881,1.73835523780099,1.41735714485906,0.289617486338798
"107",1.05087961474675,2.91696666926145,1.7399407206507,2.55773362218847,0.295081967213115
"70",1.04461527769706,3.00305227286093,1.75752419551609,1.07157218234513,0.300546448087432
"128",1.03238285779501,3.08717818314148,1.76309600434388,2.58482342633207,0.306010928961749
"30",1.02175585278944,3.21046738717123,1.77386434902683,2.08777736154868,0.311475409836066
"15",1.12767662094114,2.97176193248251,1.8024979616518,2.59440409652414,0.316939890710383
"163",1.11208632615797,2.99418760724664,1.8105598452167,1.48868784268161,0.322404371584699
"27",1.11607590169564,3.15378386566856,1.85574923853272,1.81002889657627,0.327868852459016
"32",1.08585885783561,3.32469894024414,1.86559779937304,1.72565006201607,0.333333333333333
"9",1.10205273342698,3.30008870205926,1.88534948300323,2.86510956176303,0.33879781420765
"122",1.18840411380778,3.25480157846856,1.90550680257634,1.70417454754775,0.344262295081967
"116",1.11619361620229,3.42852689812445,1.90820499798204,1.64213958474197,0.349726775956284
"55",1.12327972669804,3.20035913011471,1.91741882649641,2.24436198307702,0.355191256830601
"38",1.18963387211817,3.14365295274632,1.93870557715869,2.74647661825866,0.360655737704918
"31",1.11855986832394,3.36606133034967,1.94210651293756,1.77279083750368,0.366120218579235
"148",1.14612103426552,3.38981963690349,1.94437136088004,1.86339398650425,0.371584699453552
"89",1.16826762758477,3.44445832940911,1.97125227665777,2.49776442178187,0.377049180327869
"83",1.19841929832961,3.28396845576253,1.98099194892192,1.82224053491455,0.382513661202186
"14",1.17002809487147,3.52534909160981,1.98230869878786,1.64726986384527,0.387978142076503
"64",1.19657320551226,3.47771963093552,2.01735099622394,1.78194633246474,0.39344262295082
"170",1.23680833624582,3.40864830680178,2.02828868435099,2.13311703996197,0.398907103825137
"36",1.20344671729551,3.53288741094256,2.0286189767196,2.54893660694957,0.404371584699454
